;NPC脚本常量设置 
;常量名称		常量内容
游戏主页		www.banbenku.com
备用主页		www.uxpx.cn
游戏名称		Amark传奇
租用仓库费用			1000
租用仓库时间			30

首届沙巴克奖励			20000
其余沙巴克奖励			6000

元宝名称			元宝
推广代码生成基数		424
推广员申请点卷			100
推广员免费资格名额		50
推广员一级提成			10
推广员二级提成			20
推广员三级提成			30
被推广等级限制			35
推广开通时间			1
庆典蛋糕经验下限		1000000
庆典蛋糕经验上限		2000000

智力测试_第一场开始时间		9
智力测试_第二场开始时间		13
智力测试_第三场开始时间		18
智力测试_第四场开始时间		22
智力测试_出题费用		1000
智力测试_经验奖励		500000
智力测试_答题上限		200
押镖系统_开始时间		12
押镖系统_结束时间		23

转职收费元宝			2000

比武大赛元宝奖励		1000
行会争霸元宝奖励		2000
装备回收_初级装备_点卷	2
装备回收_低级装备_点卷	10
装备回收_中级装备_点卷	50
装备回收_高级装备_点卷	100
装备回收_超级装备_点卷	200
装备回收_一转装备_点卷	4
装备回收_二转装备_点卷	20
装备回收_三转装备_点卷	100
装备回收_四转装备_点卷	200
装备回收_五转装备_点卷	400

每日签到_一级奖励_物品	魔血石(小)
每日签到_二级奖励_物品	魔血石(中)
每日签到_三级奖励_物品	魔血石(大)
每日签到_一级奖励_点卷	25
每日签到_二级奖励_点卷	50
每日签到_三级奖励_点卷	75
每日签到_一级奖励_经验	3500000
每日签到_二级奖励_经验	7000000
每日签到_三级奖励_经验	10500000





任务_补给危机_接受变量			[134]
任务_补给危机_接受未完成变量值		0
任务_补给危机_接受已完成变量值		1
任务_补给危机_镖车名称			补给镖车
任务_补给危机_客户端名称_45		补给危机押镖45
任务_补给危机_客户端名称_60		补给危机押镖60
任务_补给危机_客户端名称_75		补给危机押镖75
任务_补给危机_客户端名称_90		补给危机押镖90
任务_补给危机_押镖时间			20
任务_每日可押镖车次数			1

押镖_补给危机_镖车_45		补给镖车1
押镖_补给危机_镖车_60		补给镖车2
押镖_补给危机_镖车_75		补给镖车3
押镖_补给危机_镖车_90		补给镖车4

押镖_补给危机_镖车_45_补	补给镖车11
押镖_补给危机_镖车_60_补	补给镖车21
押镖_补给危机_镖车_75_补	补给镖车31
押镖_补给危机_镖车_90_补	补给镖车41

押镖_补给危机_证明_45		低级押镖令
押镖_补给危机_证明_60		中级押镖令
押镖_补给危机_证明_75		高级押镖令
押镖_补给危机_证明_90		超级押镖令

押镖_补给危机_证明_45_补	低级押镖令
押镖_补给危机_证明_60_补	中级押镖令
押镖_补给危机_证明_75_补	高级押镖令
押镖_补给危机_证明_90_补	超级押镖令

押镖_补给危机_经验_45		3000000
押镖_补给危机_经验_60		5000000
押镖_补给危机_经验_75		7000000
押镖_补给危机_经验_90		9000000

押镖_补给危机_金币_45		100000
押镖_补给危机_金币_60		200000
押镖_补给危机_金币_75		300000
押镖_补给危机_金币_90		400000


押镖_补给危机_点卷_45		10
押镖_补给危机_点卷_60		30
押镖_补给危机_点卷_75		50
押镖_补给危机_点卷_90		75

押镖_补给危机_宝箱_45		低级押镖宝箱
押镖_补给危机_宝箱_60		中级押镖宝箱
押镖_补给危机_宝箱_75		高级押镖宝箱
押镖_补给危机_宝箱_90		超级押镖宝箱

离线闭关_基础经验		51
离线闭关_基础点卷		50
离线闭关_基础元宝		50
离线闭关_点卷倍率		3
离线闭关_元宝倍率		6

装备强化_1级强化基础费用	3
装备强化_2级强化基础费用	12
装备强化_3级强化基础费用	125
装备强化_4级强化基础费用	250
装备强化_5级强化基础费用	500
装备强化_6级强化基础费用	1000

挑战关卡_木人_经验_普通		10000000
挑战关卡_木人_经验_精英		20000000
挑战关卡_木人_经验_恶魔		30000000

挑战关卡_木人_点卷_普通		150
挑战关卡_木人_点卷_精英		300
挑战关卡_木人_点卷_恶魔		600

比武大赛战士等级		73
比武大赛法师等级		74
比武大赛道士等级		72

